Time,Position,Percentage,Lots,Number
2024-01-29 17:25:24.090507,Long,71.0,15375.52,53235.0
2024-01-29 17:25:30.258357,Short,29.0,6339.02,23211.0
2024-01-29 17:25:30.258357,Long,71.0,15375.52,53235.0
2024-01-29 17:25:36.665566,Short,29.0,6339.02,23211.0
2024-01-29 17:25:36.665566,Long,71.0,15375.52,53235.0
2024-01-29 17:25:42.763941,Short,29.0,6343.24,23199.0
2024-01-29 17:25:42.763941,Long,71.0,15361.21,53148.0
2024-01-29 17:25:48.866696,Short,29.0,6343.24,23199.0
2024-01-29 17:25:48.866696,Long,71.0,15361.21,53148.0
2024-01-29 17:25:54.911673,Short,29.0,6343.24,23199.0
2024-01-29 17:25:54.911673,Long,71.0,15361.21,53148.0
2024-01-29 17:26:01.139851,Short,29.0,6343.24,23199.0
2024-01-29 17:26:01.139851,Long,71.0,15361.21,53148.0
2024-01-29 17:26:07.641517,Short,29.0,6343.24,23199.0
2024-01-29 17:26:07.641517,Long,71.0,15361.21,53148.0
2024-01-29 17:26:13.957447,Short,29.0,6343.24,23199.0
2024-01-29 17:26:13.957447,Long,71.0,15361.21,53148.0
2024-01-29 17:26:20.252913,Short,29.0,6343.24,23199.0
2024-01-29 17:26:20.252913,Long,71.0,15361.21,53148.0
2024-01-29 17:26:27.159156,Short,29.0,6343.24,23199.0
2024-01-29 17:26:27.159156,Long,71.0,15361.21,53148.0
2024-01-29 17:26:33.292796,Short,29.0,6343.24,23199.0
2024-01-29 17:26:33.292796,Long,71.0,15361.21,53148.0
2024-01-29 17:26:39.602701,Short,29.0,6343.24,23199.0
2024-01-29 17:26:39.602701,Long,71.0,15361.21,53148.0
2024-01-29 17:26:45.927783,Short,29.0,6341.26,23191.0
2024-01-29 17:26:45.927783,Long,71.0,15329.26,53042.0
2024-01-29 17:26:52.093715,Short,29.0,6341.26,23191.0
2024-01-29 17:26:52.093715,Long,71.0,15329.26,53042.0
2024-01-29 17:26:58.322076,Short,29.0,6341.26,23191.0
2024-01-29 17:26:58.322076,Long,71.0,15329.26,53042.0
2024-01-29 17:27:04.503511,Short,29.0,6341.26,23191.0
2024-01-29 17:27:04.503511,Long,71.0,15329.26,53042.0
2024-01-29 17:27:10.605983,Short,29.0,6341.26,23191.0
2024-01-29 17:27:10.605983,Long,71.0,15329.26,53042.0
2024-01-29 17:27:45.329116,Short,29.0,6341.26,23191.0
2024-01-29 17:27:45.329116,Long,71.0,15329.26,53042.0
2024-01-29 17:28:32.089087,Short,29.0,6338.46,23181.0
2024-01-29 17:28:32.089087,Long,71.0,15329.96,52993.0
2024-01-29 17:29:09.343066,Short,29.0,6336.6,23152.0
2024-01-29 17:29:09.343066,Long,71.0,15300.54,52899.0
